订单ID,日期,客户ID,商品类别,单价,数量,地区,支付方式
ORD02965,2025-01-03 09:36:00,C3158,电子产品,80.57,5,华南,支付宝
ORD02966,2025-01-03 09:37:00,C785,图书,11.94,3,西南,支付宝
ORD02967,2025-01-03 09:37:00,C2416,电子产品,44.52,6,华南,信用卡
ORD02968,2025-01-03 09:37:00,C796,图书,,9,东北,微信
ORD02969,2025-01-03 09:37:00,C4172,电子产品,81.29,6,西南,支付宝
ORD02970,2025-01-03 09:37:00,C4154,服装,76.35,4,华南,微信
ORD02971,2025-01-03 09:38:00,C1936,电子产品,,5,东北,支付宝
ORD02972,2025-01-03 09:38:00,,图书,31.28,7,华东,信用卡
ORD02973,2025-01-03 09:39:00,C3807,电子产品,51.07,3,东北,微信
ORD02974,2025-01-03 09:39:00,C1301,电子产品,26.6,9,华南,现金
ORD02975,2025-01-03 09:40:00,,电子产品,43.41,1,西南,支付宝
ORD02976,2025-01-03 09:40:00,C3140,图书,57.0,8,西南,信用卡
ORD02977,2025-01-03 09:41:00,C3236,电子产品,14.8,5,华东,现金
ORD02978,2025-01-03 09:42:00,C2352,家居,74.34,9,华南,微信
ORD02979,2025-01-03 09:43:00,C1932,家居,58.9,2,华东,信用卡
ORD02980,2025-01-03 09:44:00,C2721,图书,84.61,-1,华北,现金
ORD02981,2025-01-03 09:45:00,C364,服装,34.46,7,东北,信用卡
ORD02982,2025-01-03 09:45:00,C4916,家居,91.3,9,华北,微信
ORD02983,2025-01-03 09:45:00,C2390,食品,99.88,5,华北,现金
ORD02984,2025-01-03 09:46:00,C946,家居,92.74,4,华东,支付宝
ORD02985,2025-01-03 09:46:00,C1377,食品,80.01,4,华东,支付宝
ORD02986,2025-01-03 09:46:00,C1439,图书,83.11,8,东北,信用卡
ORD02987,2025-01-03 09:48:00,C3180,服装,61.64,1,华东,支付宝
ORD02988,2025-01-03 09:49:00,C4857,食品,27.11,1,华东,微信
ORD02989,2025-01-03 09:49:00,C340,食品,70.93,8,华东,微信
ORD02990,2025-01-03 09:49:00,C2989,家居,74.15,2,华东,现金
ORD02991,2025-01-03 09:49:00,C382,食品,98.68,6,华东,现金
ORD02992,2025-01-03 09:50:00,C1556,图书,58.72,2,华北,现金
ORD02993,2025-01-03 09:50:00,C299,图书,34.42,5,华北,信用卡
ORD02994,2025-01-03 09:52:00,C138,图书,71.53,3,东北,信用卡
ORD02995,2025-01-03 09:52:00,C358,家居,,7,西南,微信
ORD02996,2025-01-03 09:53:00,C4931,服装,25.95,9,东北,微信
ORD02997,2025-01-03 09:53:00,C1522,家居,39.34,2,华南,信用卡
ORD02998,2025-01-03 09:54:00,C3456,图书,58.77,7,东北,现金
ORD02999,2025-01-03 09:57:00,C1627,家居,25.32,8,东北,信用卡
ORD03000,2025-01-03 09:57:00,C1303,图书,12.0,8,华东,现金
ORD03001,2025-01-03 09:58:00,C1134,电子产品,40.33,7,华东,微信
ORD03002,2025-01-03 09:59:00,C2186,电子产品,87.88,4,华东,现金
ORD03003,2025-01-03 10:00:00,C3170,食品,,4,西南,信用卡
ORD03004,2025-01-03 10:00:00,C3835,服装,48.6,9,华东,支付宝
ORD03005,2025-01-03 10:00:00,C2151,电子产品,78.6,9,华南,微信
ORD03006,2025-01-03 10:01:00,C1237,图书,95.79,5,华北,微信
ORD03007,2025-01-03 10:01:00,C3735,家居,98.69,7,华南,信用卡
ORD03008,2025-01-03 10:01:00,C2834,家居,47.98,7,西南,信用卡
ORD03009,2025-01-03 10:01:00,C4260,食品,95.53,9,华东,微信
ORD03010,2025-01-03 10:01:00,C998,家居,13.19,7,东北,信用卡
ORD03011,2025-01-03 10:01:00,C2567,电子产品,77.13,8,华北,现金
ORD03012,2025-01-03 10:01:00,C1307,家居,67.85,7,西南,现金
ORD03013,2025-01-03 10:02:00,C656,电子产品,32.46,4,华南,现金
ORD03014,2025-01-03 10:03:00,C2660,电子产品,55.66,2,华东,支付宝
ORD03015,2025-01-03 10:04:00,C2211,服装,21.66,3,西南,信用卡
ORD03016,2025-01-03 10:04:00,C1909,食品,88.44,7,西南,现金
ORD03017,2025-01-03 10:04:00,C3730,图书,42.21,9,东北,微信
ORD03018,2025-01-03 10:05:00,C2046,电子产品,66.34,2,东北,现金
ORD03019,2025-01-03 10:06:00,C3162,食品,24.29,7,东北,现金
ORD03020,2025-01-03 10:06:00,C1140,图书,28.55,4,华南,信用卡
ORD03021,2025-01-03 10:06:00,C266,家居,99.28,7,东北,微信
ORD03022,2025-01-03 10:06:00,C1845,食品,77.78,5,西南,支付宝
ORD03023,2025-01-03 10:07:00,C1708,食品,96.58,7,西南,微信
ORD03024,2025-01-03 10:07:00,C3630,食品,36.63,6,西南,现金
ORD03025,2025-01-03 10:09:00,C3211,家居,24.81,2,华北,支付宝
ORD03026,2025-01-03 10:09:00,C2293,家居,55.28,7,华北,支付宝
ORD03027,2025-01-03 10:10:00,C3732,食品,54.52,5,华南,支付宝
ORD03028,2025-01-03 10:12:00,C3829,服装,25.75,9,东北,支付宝
ORD03029,2025-01-03 10:13:00,C1510,电子产品,75.99,1,西南,支付宝
ORD03030,2025-01-03 10:13:00,C475,家居,42.56,1,东北,信用卡
ORD03031,2025-01-03 10:13:00,C976,服装,26.77,2,西南,现金
ORD03032,2025-01-03 10:14:00,C1207,家居,39.88,8,华北,支付宝
ORD03033,2025-01-03 10:14:00,C1960,食品,60.73,-1,西南,现金
ORD03034,2025-01-03 10:15:00,C557,服装,75.38,7,华南,信用卡
ORD03035,2025-01-03 10:15:00,C882,图书,53.37,1,华东,信用卡
ORD03036,2025-01-03 10:15:00,C2194,电子产品,57.3,7,西南,信用卡
ORD03037,2025-01-03 10:15:00,C4761,电子产品,22.51,8,华南,微信
ORD03038,2025-01-03 10:18:00,C2667,家居,92.32,7,华北,微信
ORD03039,2025-01-03 10:18:00,C4959,电子产品,93.59,5,华北,支付宝
ORD03040,2025-01-03 10:18:00,C4677,图书,71.51,7,华东,信用卡
ORD03041,2025-01-03 10:18:00,C4790,服装,11.59,2,东北,微信
ORD03042,2025-01-03 10:18:00,C1610,服装,58.34,9,东北,信用卡
ORD03043,2025-01-03 10:19:00,C3488,食品,66.63,2,西南,微信
ORD03044,2025-01-03 10:19:00,C2454,服装,99.52,2,华北,信用卡
ORD03045,2025-01-03 10:20:00,C4494,家居,99.65,5,华南,微信
ORD03046,2025-01-03 10:21:00,C1946,图书,87.19,8,华东,现金
ORD03047,2025-01-03 10:22:00,C4810,食品,15.74,6,东北,支付宝
ORD03048,2025-01-03 10:22:00,C4799,家居,95.79,9,西南,支付宝
ORD03049,2025-01-03 10:24:00,C2808,家居,65.14,6,西南,现金
ORD03050,2025-01-03 10:24:00,C3825,家居,82.08,5,华北,支付宝
ORD03051,2025-01-03 10:25:00,C3536,电子产品,46.65,1,华南,信用卡
ORD03052,2025-01-03 10:29:00,C3802,家居,38.77,8,华南,支付宝
ORD03053,2025-01-03 10:29:00,,电子产品,51.69,3,东北,支付宝
ORD03054,2025-01-03 10:29:00,,服装,23.22,-1,西南,微信
ORD03055,2025-01-03 10:30:00,C1970,电子产品,42.14,7,华北,微信
ORD03056,2025-01-03 10:32:00,C3822,家居,87.19,2,华南,现金
ORD03057,2025-01-03 10:32:00,C2819,图书,13.42,1,西南,微信
ORD03058,2025-01-03 10:34:00,C902,图书,23.58,2,华南,现金
ORD03059,2025-01-03 10:34:00,C364,服装,21.26,6,华东,支付宝
ORD03060,2025-01-03 10:35:00,C4258,家居,46.28,2,华南,微信
ORD03061,2025-01-03 10:35:00,C3119,电子产品,99.73,1,华南,微信
ORD03062,2025-01-03 10:35:00,C2558,图书,25.6,1,西南,支付宝
ORD03063,2025-01-03 10:36:00,C1863,食品,23.09,4,华南,微信
ORD03064,2025-01-03 10:36:00,C115,家居,92.36,8,华南,信用卡
ORD03065,2025-01-03 10:36:00,C2384,家居,89.38,6,华东,微信
ORD03066,2025-01-03 10:36:00,C4976,食品,12.9,4,华南,信用卡
ORD03067,2025-01-03 10:37:00,C3935,图书,77.65,6,华南,现金
ORD03068,2025-01-03 10:38:00,C4935,食品,68.99,6,西南,微信
ORD03069,2025-01-03 10:38:00,C2490,服装,79.1,9,华北,微信
ORD03070,2025-01-03 10:39:00,C942,电子产品,54.51,4,华东,信用卡
ORD03071,2025-01-03 10:40:00,C1724,电子产品,99.22,6,华南,支付宝
ORD03072,2025-01-03 10:40:00,C2334,图书,13.95,1,华北,现金
ORD03073,2025-01-03 10:40:00,C2767,食品,,7,西南,现金
ORD03074,2025-01-03 10:42:00,C1137,家居,45.69,7,华东,信用卡
ORD03075,2025-01-03 10:42:00,C2527,家居,50.48,1,西南,支付宝
ORD03076,2025-01-03 10:42:00,C4117,家居,92.92,8,华北,微信
ORD03077,2025-01-03 10:43:00,C3420,服装,60.4,5,华东,支付宝
ORD03078,2025-01-03 10:43:00,C4778,服装,14.06,9,华南,支付宝
ORD03079,2025-01-03 10:43:00,C3906,家居,46.71,8,华北,信用卡
ORD03080,2025-01-03 10:43:00,,图书,47.48,3,西南,支付宝
ORD03081,2025-01-03 10:43:00,C2953,服装,96.89,1,华东,支付宝
ORD03082,2025-01-03 10:44:00,C2367,服装,63.93,3,华北,信用卡
ORD03083,2025-01-03 10:44:00,C4221,电子产品,67.21,2,华北,支付宝
ORD03084,2025-01-03 10:44:00,C276,电子产品,74.19,2,西南,支付宝
ORD03085,2025-01-03 10:45:00,C1999,图书,79.3,4,西南,现金
ORD03086,2025-01-03 10:45:00,C1227,服装,67.15,2,华南,信用卡
ORD03087,2025-01-03 10:47:00,C3752,服装,31.35,8,华南,信用卡
ORD03088,2025-01-03 10:48:00,C3735,食品,88.66,5,华北,信用卡
ORD03089,2025-01-03 10:48:00,C695,图书,75.89,1,西南,支付宝
ORD03090,2025-01-03 10:48:00,C1309,图书,76.77,6,华北,现金
ORD03091,2025-01-03 10:48:00,C4152,食品,99.69,7,东北,现金
ORD03092,2025-01-03 10:49:00,C3234,食品,82.23,1,西南,微信
ORD03093,2025-01-03 10:50:00,C4114,电子产品,84.62,3,东北,信用卡
ORD03094,2025-01-03 10:50:00,C2311,图书,95.63,9,东北,现金
ORD03095,2025-01-03 10:50:00,C2841,图书,23.6,7,西南,现金
ORD03096,2025-01-03 10:50:00,C4208,食品,54.8,4,华南,现金
ORD03097,2025-01-03 10:50:00,C3559,家居,62.25,6,华北,信用卡
ORD03098,2025-01-03 10:52:00,C3398,家居,39.63,6,华东,支付宝
ORD03099,2025-01-03 10:52:00,C541,电子产品,85.55,3,华东,微信
ORD03100,2025-01-03 10:54:00,C2694,家居,78.62,2,西南,微信
ORD03101,2025-01-03 10:54:00,C4674,家居,74.88,5,华南,支付宝
ORD03102,2025-01-03 10:54:00,C1088,家居,99.74,8,华南,信用卡
ORD03103,2025-01-03 10:54:00,C3363,服装,33.34,3,华南,现金
ORD03104,2025-01-03 10:55:00,C024,电子产品,76.19,5,华东,支付宝
ORD03105,2025-01-03 10:55:00,C1572,食品,59.63,3,东北,微信
ORD03106,2025-01-03 10:55:00,C2958,家居,38.17,7,华东,信用卡
ORD03107,2025-01-03 10:55:00,C4236,服装,24.45,6,华南,现金
ORD03108,2025-01-03 10:56:00,C1767,家居,90.63,6,华东,微信
ORD03109,2025-01-03 10:56:00,C4743,服装,63.59,1,华东,微信
ORD03110,2025-01-03 10:56:00,C2235,电子产品,84.24,2,华北,微信
ORD03111,2025-01-03 10:58:00,C200,家居,59.08,6,西南,现金
ORD03112,2025-01-03 10:59:00,C3198,服装,29.8,8,东北,微信
ORD03113,2025-01-03 10:59:00,C256,图书,40.38,5,华北,信用卡
ORD03114,2025-01-03 11:00:00,C3747,图书,44.34,2,西南,信用卡
ORD03115,2025-01-03 11:01:00,,服装,97.56,5,华南,现金
ORD03116,2025-01-03 11:02:00,C2241,家居,10.51,9,华北,信用卡
ORD03117,2025-01-03 11:04:00,C3175,家居,98.71,6,西南,支付宝
ORD03118,2025-01-03 11:04:00,C3606,电子产品,98.24,5,华北,信用卡
ORD03119,2025-01-03 11:05:00,C3336,电子产品,99.65,6,华东,微信
ORD03120,2025-01-03 11:05:00,C4897,食品,52.89,9,华东,微信
ORD03121,2025-01-03 11:07:00,C413,电子产品,96.74,7,华北,信用卡
ORD03122,2025-01-03 11:07:00,C2014,家居,45.6,3,华北,信用卡
ORD03123,2025-01-03 11:07:00,C1381,食品,12.37,5,东北,现金
ORD03124,2025-01-03 11:08:00,C1098,电子产品,30.19,4,华南,现金
ORD03125,2025-01-03 11:08:00,C3426,服装,95.08,5,华东,支付宝
ORD03126,2025-01-03 11:10:00,C3655,图书,11.24,8,华北,信用卡
ORD03127,2025-01-03 11:10:00,C909,电子产品,59.14,6,西南,支付宝
ORD03128,2025-01-03 11:11:00,C187,电子产品,,4,华南,信用卡
ORD03129,2025-01-03 11:12:00,C4044,服装,35.78,5,西南,支付宝
ORD03130,2025-01-03 11:12:00,C3756,家居,17.93,7,华南,信用卡
ORD03131,2025-01-03 11:13:00,C2015,服装,87.36,8,西南,信用卡
ORD03132,2025-01-03 11:13:00,C2092,电子产品,63.2,5,华东,信用卡
ORD03133,2025-01-03 11:14:00,C3644,家居,91.19,2,华北,支付宝
ORD03134,2025-01-03 11:14:00,C2130,食品,71.95,6,华北,微信
ORD03135,2025-01-03 11:14:00,C357,电子产品,97.39,9,东北,现金
ORD03136,2025-01-03 11:15:00,C2422,服装,55.89,3,华北,现金
ORD03137,2025-01-03 11:15:00,C4257,食品,67.48,7,华东,支付宝
ORD03138,2025-01-03 11:16:00,C4545,图书,61.87,8,华南,信用卡
ORD03139,2025-01-03 11:16:00,C1497,食品,53.58,-1,华南,微信
ORD03140,2025-01-03 11:16:00,,服装,86.14,3,华北,支付宝
ORD03141,2025-01-03 11:17:00,C2555,食品,68.01,1,西南,支付宝
ORD03142,2025-01-03 11:17:00,C2342,服装,82.12,3,华北,现金
ORD03143,2025-01-03 11:18:00,C2951,电子产品,80.77,6,华南,现金
ORD03144,2025-01-03 11:18:00,C1238,家居,27.19,4,东北,微信
ORD03145,2025-01-03 11:18:00,C973,图书,68.51,1,华南,信用卡
ORD03146,2025-01-03 11:19:00,C4727,家居,27.97,6,西南,微信
ORD03147,2025-01-03 11:19:00,C3965,家居,62.5,1,西南,现金
ORD03148,2025-01-03 11:20:00,C1050,家居,70.97,8,东北,信用卡
ORD03149,2025-01-03 11:20:00,C3701,服装,99.75,3,西南,微信
ORD03150,2025-01-03 11:21:00,C2780,服装,12.75,3,华北,支付宝
ORD03151,2025-01-03 11:22:00,C1588,图书,18.21,1,华北,支付宝
ORD03152,2025-01-03 11:22:00,C3878,服装,16.93,3,华南,支付宝
ORD03153,2025-01-03 11:22:00,C2368,服装,45.85,7,华东,信用卡
ORD03154,2025-01-03 11:23:00,C436,服装,83.94,8,华北,信用卡
ORD03155,2025-01-03 11:23:00,C2828,服装,85.97,8,华北,现金
ORD03156,2025-01-03 11:23:00,C1556,电子产品,76.33,3,东北,微信
ORD03157,2025-01-03 11:24:00,C3858,图书,90.72,5,华北,信用卡
ORD03158,2025-01-03 11:24:00,C1304,服装,39.06,1,华南,信用卡
ORD03159,2025-01-03 11:25:00,C2384,图书,17.93,9,东北,微信
ORD03160,2025-01-03 11:25:00,C182,食品,15.23,8,华北,现金
ORD03161,2025-01-03 11:26:00,C1589,电子产品,86.69,2,华南,信用卡
ORD03162,2025-01-03 11:27:00,C1587,服装,75.74,1,东北,微信
ORD03163,2025-01-03 11:27:00,C659,电子产品,72.88,4,华东,信用卡
ORD03164,2025-01-03 11:28:00,C159,电子产品,40.57,9,华南,信用卡
ORD03165,2025-01-03 11:28:00,C3953,食品,44.19,8,华北,现金
ORD03166,2025-01-03 11:29:00,C1011,图书,96.23,3,东北,支付宝
ORD03167,2025-01-03 11:31:00,C052,电子产品,15.74,6,华东,信用卡
ORD03168,2025-01-03 11:32:00,C2307,家居,79.64,9,华南,现金
ORD03169,2025-01-03 11:33:00,C1228,食品,37.87,8,华东,微信
ORD03170,2025-01-03 11:34:00,C1035,家居,13.51,5,华南,微信
ORD03171,2025-01-03 11:35:00,C3702,食品,76.83,9,华北,支付宝
ORD03172,2025-01-03 11:35:00,C4045,家居,39.78,9,华南,微信
ORD03173,2025-01-03 11:36:00,C4945,家居,74.99,3,华北,支付宝
ORD03174,2025-01-03 11:36:00,C4449,电子产品,73.69,8,华南,信用卡
ORD03175,2025-01-03 11:36:00,C1264,电子产品,58.13,4,东北,支付宝
ORD03176,2025-01-03 11:36:00,C1884,食品,79.96,7,华南,信用卡
ORD03177,2025-01-03 11:37:00,C1809,图书,,8,华南,微信
ORD03178,2025-01-03 11:37:00,C3167,电子产品,35.8,7,西南,支付宝
ORD03179,2025-01-03 11:38:00,C3797,电子产品,76.07,5,西南,现金
ORD03180,2025-01-03 11:39:00,C2341,服装,63.02,1,华南,微信
ORD03181,2025-01-03 11:41:00,C3414,电子产品,11.15,8,西南,微信
ORD03182,2025-01-03 11:42:00,,图书,91.15,5,华北,微信
ORD03183,2025-01-03 11:42:00,C2437,服装,59.11,3,西南,微信
ORD03184,2025-01-03 11:42:00,C888,家居,88.18,2,华南,微信
ORD03185,2025-01-03 11:42:00,C667,家居,89.45,3,华东,现金
ORD03186,2025-01-03 11:43:00,C4728,服装,50.05,9,华东,现金
ORD03187,2025-01-03 11:43:00,C2624,服装,55.69,2,华南,现金
ORD03188,2025-01-03 11:43:00,C4232,服装,47.42,1,华南,支付宝
ORD03189,2025-01-03 11:44:00,C4523,食品,50.45,2,华东,微信
ORD03190,2025-01-03 11:44:00,C818,图书,90.56,2,东北,支付宝
ORD03191,2025-01-03 11:44:00,C2188,图书,80.93,5,西南,支付宝
ORD03192,2025-01-03 11:44:00,C1106,家居,21.39,1,东北,支付宝
ORD03193,2025-01-03 11:44:00,C2224,家居,64.93,8,华北,微信
ORD03194,2025-01-03 11:44:00,C197,家居,99.63,2,华东,微信
ORD03195,2025-01-03 11:45:00,C2671,电子产品,63.6,6,华东,支付宝
ORD03196,2025-01-03 11:47:00,C3492,家居,80.73,5,东北,微信
ORD03197,2025-01-03 11:48:00,C2448,服装,79.22,2,华北,支付宝
ORD03198,2025-01-03 11:48:00,C470,家居,41.53,1,东北,微信
ORD03199,2025-01-03 11:49:00,C1948,服装,43.47,6,华北,微信
ORD03200,2025-01-03 11:50:00,C3899,食品,75.17,6,华南,支付宝
ORD03201,2025-01-03 11:51:00,C2010,电子产品,55.0,3,华南,现金
ORD03202,2025-01-03 11:52:00,C3800,电子产品,61.35,8,华东,微信
ORD03203,2025-01-03 11:52:00,C4118,图书,74.16,9,华南,支付宝
ORD03204,2025-01-03 11:52:00,C3796,食品,79.98,3,东北,支付宝
ORD03205,2025-01-03 11:53:00,C3988,服装,34.44,9,华北,微信
ORD03206,2025-01-03 11:53:00,C234,食品,23.21,8,华东,微信
ORD03207,2025-01-03 11:53:00,C928,电子产品,36.26,5,华南,支付宝
ORD03208,2025-01-03 11:54:00,C3607,服装,55.68,6,华东,支付宝
ORD03209,2025-01-03 11:55:00,C522,食品,40.79,1,华东,支付宝
ORD03210,2025-01-03 11:55:00,C3523,电子产品,61.15,5,华北,信用卡
ORD03211,2025-01-03 11:55:00,C4526,服装,14.81,7,东北,微信
ORD03212,2025-01-03 11:55:00,C4888,服装,55.88,1,东北,信用卡
ORD03213,2025-01-03 11:58:00,C1629,电子产品,43.12,9,西南,支付宝
ORD03214,2025-01-03 11:59:00,C4628,服装,58.12,7,东北,信用卡
ORD03215,2025-01-03 11:59:00,C1316,电子产品,48.03,4,华南,现金
ORD03216,2025-01-03 12:00:00,C2857,家居,35.58,4,西南,支付宝
ORD03217,2025-01-03 12:01:00,C1124,家居,91.37,7,西南,现金
ORD03218,2025-01-03 12:01:00,C2587,服装,26.63,6,西南,信用卡
ORD03219,2025-01-03 12:01:00,C1023,服装,71.32,3,西南,现金
ORD03220,2025-01-03 12:02:00,C1378,电子产品,93.22,9,东北,信用卡
ORD03221,2025-01-03 12:02:00,C3374,服装,58.48,6,西南,微信
ORD03222,2025-01-03 12:03:00,C1519,图书,88.88,2,华南,微信
ORD03223,2025-01-03 12:03:00,C226,家居,21.24,2,华南,信用卡
ORD03224,2025-01-03 12:03:00,C4968,服装,54.44,1,华东,支付宝
ORD03225,2025-01-03 12:04:00,C891,服装,51.13,5,华南,微信
ORD03226,2025-01-03 12:05:00,C4072,食品,10.73,6,华东,信用卡
ORD03227,2025-01-03 12:06:00,C2257,服装,49.89,3,华南,支付宝
ORD03228,2025-01-03 12:06:00,C2788,图书,43.21,4,西南,微信
ORD03229,2025-01-03 12:08:00,C396,家居,70.28,5,华北,信用卡
ORD03230,2025-01-03 12:08:00,C2078,食品,94.45,4,西南,支付宝
ORD03231,2025-01-03 12:09:00,C4744,电子产品,17.72,9,东北,支付宝
ORD03232,2025-01-03 12:09:00,C4424,电子产品,39.47,3,华东,信用卡
ORD03233,2025-01-03 12:11:00,C3237,家居,49.97,5,华北,现金
ORD03234,2025-01-03 12:11:00,C3893,电子产品,50.97,7,华南,现金
ORD03235,2025-01-03 12:13:00,C2005,图书,79.73,7,西南,现金
ORD03236,2025-01-03 12:13:00,C2016,服装,49.91,6,华东,现金
ORD03237,2025-01-03 12:14:00,C3171,家居,12.44,9,华东,支付宝
ORD03238,2025-01-03 12:14:00,C2668,食品,73.91,7,华南,现金
ORD03239,2025-01-03 12:14:00,C1878,服装,89.63,4,华东,信用卡
ORD03240,2025-01-03 12:15:00,C1196,电子产品,56.25,9,华南,支付宝
ORD03241,2025-01-03 12:15:00,C1772,电子产品,62.3,6,华南,现金
ORD03242,2025-01-03 12:16:00,C161,食品,24.66,1,西南,信用卡
ORD03243,2025-01-03 12:17:00,C3976,图书,,9,华东,微信
ORD03244,2025-01-03 12:17:00,C1751,食品,,7,东北,支付宝
ORD03245,2025-01-03 12:18:00,,家居,48.77,6,东北,信用卡
ORD03246,2025-01-03 12:18:00,C939,食品,93.53,6,西南,现金
ORD03247,2025-01-03 12:20:00,C3220,电子产品,56.96,-1,西南,信用卡
ORD03248,2025-01-03 12:20:00,C539,图书,27.29,4,华南,支付宝
ORD03249,2025-01-03 12:23:00,C4917,图书,33.95,3,东北,微信
ORD03250,2025-01-03 12:24:00,C1461,食品,44.56,8,华东,现金
ORD03251,2025-01-03 12:25:00,C355,家居,66.09,8,东北,信用卡
ORD03252,2025-01-03 12:25:00,C3604,电子产品,49.6,2,西南,微信
ORD03253,2025-01-03 12:26:00,C3323,服装,45.32,5,西南,支付宝
ORD03254,2025-01-03 12:26:00,C234,图书,60.83,9,华南,现金
ORD03255,2025-01-03 12:27:00,C1548,食品,31.77,9,华东,微信
ORD03256,2025-01-03 12:28:00,C2096,家居,17.1,7,西南,支付宝
ORD03257,2025-01-03 12:31:00,C4213,家居,12.2,4,华东,现金
ORD03258,2025-01-03 12:32:00,C2101,电子产品,32.61,4,东北,信用卡
ORD03259,2025-01-03 12:32:00,C1673,图书,18.24,7,华南,微信
ORD03260,2025-01-03 12:32:00,C2100,电子产品,40.27,3,东北,支付宝
ORD03261,2025-01-03 12:32:00,C3657,服装,,3,西南,信用卡
ORD03262,2025-01-03 12:32:00,C4653,服装,74.47,5,西南,现金
ORD03263,2025-01-03 12:33:00,C3596,服装,64.98,6,华东,微信
ORD03264,2025-01-03 12:34:00,C3748,家居,86.73,8,西南,支付宝
ORD03265,2025-01-03 12:35:00,C3173,图书,35.39,1,华东,微信
ORD03266,2025-01-03 12:35:00,C1815,电子产品,89.65,7,华北,信用卡
ORD03267,2025-01-03 12:36:00,C3841,电子产品,45.93,8,西南,信用卡
ORD03268,2025-01-03 12:36:00,C2005,服装,46.08,5,东北,支付宝
ORD03269,2025-01-03 12:36:00,C4493,图书,46.48,2,东北,微信
ORD03270,2025-01-03 12:36:00,C674,图书,18.83,4,华东,微信
ORD03271,2025-01-03 12:38:00,C386,食品,97.79,6,华北,信用卡
ORD03272,2025-01-03 12:38:00,C2158,图书,22.47,9,西南,微信
ORD03273,2025-01-03 12:40:00,C2661,图书,40.68,2,华南,微信
ORD03274,2025-01-03 12:40:00,C2064,电子产品,38.74,4,华南,微信
ORD03275,2025-01-03 12:42:00,C3851,图书,16.72,5,东北,支付宝
ORD03276,2025-01-03 12:44:00,C3253,图书,23.7,8,西南,信用卡
ORD03277,2025-01-03 12:44:00,C4979,电子产品,14.04,8,华南,现金
ORD03278,2025-01-03 12:45:00,C4636,图书,36.32,2,华东,支付宝
ORD03279,2025-01-03 12:46:00,C4266,电子产品,88.0,6,西南,信用卡
ORD03280,2025-01-03 12:46:00,C739,食品,40.55,6,东北,支付宝
ORD03281,2025-01-03 12:48:00,C1401,家居,21.13,5,华北,现金
ORD03282,2025-01-03 12:48:00,C3259,电子产品,68.11,8,华东,支付宝
ORD03283,2025-01-03 12:48:00,,电子产品,99.69,2,华东,支付宝
ORD03284,2025-01-03 12:48:00,,图书,30.91,2,西南,现金
ORD03285,2025-01-03 12:48:00,C3923,电子产品,35.16,7,华北,微信
ORD03286,2025-01-03 12:49:00,C4214,服装,97.47,9,华东,信用卡
ORD03287,2025-01-03 12:49:00,C3227,服装,26.09,3,华北,现金
ORD03288,2025-01-03 12:50:00,C2831,食品,56.01,7,东北,支付宝
ORD03289,2025-01-03 12:50:00,C3758,电子产品,31.57,3,华东,微信
ORD03290,2025-01-03 12:51:00,C2512,图书,93.91,6,华南,支付宝
ORD03291,2025-01-03 12:51:00,C2151,图书,98.34,3,东北,微信
ORD03292,2025-01-03 12:52:00,C3675,家居,83.32,1,东北,支付宝
ORD03293,2025-01-03 12:52:00,C2745,食品,38.33,6,华东,信用卡
ORD03294,2025-01-03 12:52:00,C3866,图书,46.31,3,华南,信用卡
ORD03295,2025-01-03 12:53:00,C3764,家居,31.81,1,华北,支付宝
ORD03296,2025-01-03 12:53:00,C2222,图书,90.17,5,华南,现金
ORD03297,2025-01-03 12:54:00,C2792,家居,92.31,8,东北,支付宝
ORD03298,2025-01-03 12:55:00,C1697,服装,,8,华东,支付宝
ORD03299,2025-01-03 12:55:00,,服装,69.09,8,华南,现金
ORD03300,2025-01-03 12:56:00,C4063,图书,24.9,3,华南,现金
ORD03301,2025-01-03 12:59:00,C1524,食品,49.14,8,东北,支付宝
ORD03302,2025-01-03 12:59:00,C4760,电子产品,66.83,4,华北,微信
ORD03303,2025-01-03 13:01:00,,食品,44.69,8,华南,信用卡
ORD03304,2025-01-03 13:01:00,C4025,食品,42.18,3,华南,微信
ORD03305,2025-01-03 13:02:00,C2566,电子产品,10.09,3,西南,现金
ORD03306,2025-01-03 13:02:00,C2803,服装,82.39,1,东北,信用卡
ORD03307,2025-01-03 13:02:00,C3896,服装,90.04,8,西南,支付宝
ORD03308,2025-01-03 13:03:00,C3709,电子产品,97.25,8,东北,信用卡
ORD03309,2025-01-03 13:04:00,C719,家居,74.73,9,东北,支付宝
ORD03310,2025-01-03 13:04:00,C4579,食品,59.39,6,西南,支付宝
ORD03311,2025-01-03 13:05:00,C972,图书,34.24,2,华北,现金
ORD03312,2025-01-03 13:05:00,C3718,服装,99.94,1,华北,微信
ORD03313,2025-01-03 13:05:00,C4402,图书,63.08,8,东北,现金
ORD03314,2025-01-03 13:05:00,C4552,电子产品,71.3,4,西南,现金
ORD03315,2025-01-03 13:07:00,C2207,图书,71.42,7,华南,信用卡
ORD03316,2025-01-03 13:07:00,C4426,图书,86.07,4,东北,微信
ORD03317,2025-01-03 13:07:00,C4320,食品,10.87,1,东北,微信
ORD03318,2025-01-03 13:08:00,C3030,电子产品,29.82,8,华东,微信
ORD03319,2025-01-03 13:11:00,C3575,图书,69.9,9,华北,微信
ORD03320,2025-01-03 13:13:00,C3116,服装,90.56,9,西南,信用卡
